survey_id,date,site,location,province,gear_type,taxon_raw,sci_name,common_name,genus,family,taxon_level,taxon_confidence,n_alive,n_dead,n_indiv,status,trophic_group,herbivore_class,predator_class,functional_group,category,ecosystem_role,ecosystem_benefit,price_min_thb,price_mean_thb,price_max_thb,price_sd_thb,price_n,tier1_priced,tier1_price_match,tier1_value_min_thb,tier1_value_mean_thb,tier1_value_max_thb,tribot_2018_taxon,langlois_2022_taxon,tribot_2018_score,langlois_2022_score,aesthetic_score_mean,score_source,assumption_level,Match,tier3_scored,tier3_match_type,tier3_match_confidence,tier3_aesthetic_index
S0064,2022-08-22T00:00:00Z,Chang Wreck,Koh Chang,Trat,net,Grouper,Epinephelus spp.,Grouper,Epinephelus,Epinephelus,genus,medium,0,1,1,dead,piscivore,NA,demersal_predator,Piscivore,Predator - Demersal,Predator,Trophic Stability,120,221.25,300,65,16,TRUE,priced,120,221.25,300,Epinephelus areolatus Ð Areolate Grouper,Epinephelus corallicola - Coral Grouper,1436.010914,1433,1434.505457,Tribot et al. 2018; Langloiset al. 2022 (proxy),proxy,P,TRUE,proxy,medium,1434.505457
S0066,2022-10-18T00:00:00Z,Petra Wrek,Koh Mun Nok,Rayong,net,Grouper,Epinephelus spp.,Grouper,Epinephelus,Epinephelus,genus,medium,1,0,1,alive,piscivore,NA,demersal_predator,Piscivore,Predator - Demersal,Predator,Trophic Stability,120,221.25,300,65,16,TRUE,priced,120,221.25,300,Epinephelus areolatus Ð Areolate Grouper,Epinephelus corallicola - Coral Grouper,1436.010914,1433,1434.505457,Tribot et al. 2018; Langloiset al. 2022 (proxy),proxy,P,TRUE,proxy,medium,1434.505457
S0076,2022-12-07T00:00:00Z,Petra Wreck,Petra Wreck,Rayong,net,Fish (Unid),NA,Unknown fish,NA,UNKN,unknown,low,0,2,2,dead,NA,NA,NA,NA,Unidentified,NA,NA,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Unknown,Unknown,1506.198212,1490,1498.099106,Tribot et al. 2018; Langloiset al. 2022 (proxy),proxy,P,TRUE,proxy,medium,2996.198212
S0076,2022-12-07T00:00:00Z,Petra Wreck,Petra Wreck,Rayong,net,Damselfish,Pomacentridae spp.,Damselfish,NA,Pomecentridae,family,medium,1,0,1,alive,herbivore,medium,NA,Herbivore,Misc.,Herbivory,Reef Resilience,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Dascyllus trimaculatus Ð Domino Damselfish,Dascyllus trimaculatus - Domino Damselfish,1246.353885,1698,1472.176943,Tribot et al. 2018; Langlois et al. 2022 (exact),direct,B,TRUE,broad_proxy,high,1472.176943
S0076,2022-12-07T00:00:00Z,Petra Wreck,Petra Wreck,Rayong,net,Fish (Unid),NA,Unknown fish,NA,UNKN,unknown,low,0,1,1,dead,NA,NA,NA,NA,Unidentified,NA,NA,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Unknown,Unknown,1506.198212,1490,1498.099106,Tribot et al. 2018; Langloiset al. 2022 (proxy),proxy,P,TRUE,proxy,medium,1498.099106
S0077,2022-12-07T00:00:00Z,Petra Wreck,Petra Wreck,Rayong,net,Yellow-Stripe Trevally,Selaroides leptolepis,Yellowstripe trevally,Selaroides,Carangidae,genus,medium,1,1,2,mixed,piscivore,NA,midwater_predator,Piscivore,Predator - Midwater,Predator,Trophic Stability,100,100,100,0,4,TRUE,priced,200,200,200,Caesio lunaris Ð Lunar Fusilier,Selaroides leptolepis - Yellowstripe Scad,1284.752874,1302,1302,Langlois et al. 2022,direct,L,TRUE,langlois_direct,high,2604
S0077,2022-12-07T00:00:00Z,Petra Wreck,Petra Wreck,Rayong,net,Fish (Unid),NA,Unknown fish,NA,UNKN,unknown,low,0,4,4,dead,NA,NA,NA,NA,Unidentified,NA,NA,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Unknown,Unknown,1506.198212,1490,1498.099106,Tribot et al. 2018; Langloiset al. 2022 (proxy),proxy,P,TRUE,proxy,medium,5992.396424
S0080,2022-12-07T00:00:00Z,Koh Mun Nok West,Koh Mun Nok,Rayong,net,Fish (Unid),NA,Unknown fish,NA,UNKN,unknown,low,0,1,1,dead,NA,NA,NA,NA,Unidentified,NA,NA,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Unknown,Unknown,1506.198212,1490,1498.099106,Tribot et al. 2018; Langloiset al. 2022 (proxy),proxy,P,TRUE,proxy,medium,1498.099106
S0084,2023-02-23T00:00:00Z,Hin Ploeng South West Pinnacle,Hin Ploeng,Rayong,net,Grouper,Epinephelus spp.,Grouper,Epinephelus,Epinephelus,genus,medium,2,1,3,mixed,piscivore,NA,demersal_predator,Piscivore,Predator - Demersal,Predator,Trophic Stability,120,221.25,300,65,16,TRUE,priced,360,663.75,900,Epinephelus areolatus Ð Areolate Grouper,Epinephelus corallicola - Coral Grouper,1436.010914,1433,1434.505457,Tribot et al. 2018; Langloiset al. 2022 (proxy),proxy,P,TRUE,proxy,medium,4303.516371
S0084,2023-02-23T00:00:00Z,Hin Ploeng South West Pinnacle,Hin Ploeng,Rayong,net,Scorpionfish,Scorpaenidae spp.,Scorpionfish,NA,NA,family,medium,2,0,2,alive,piscivore,NA,demersal_predator,Piscivore,Predator - Demersal,Predator,Trophic Stability,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Pterois volitans Ð Red Lionfish,Scorpaenopsis oxycephala - Tasselled Scorpionfish,1784.87583,1500,1500,Langlois et al. 2022,direct,L,TRUE,langlois_direct,high,3000
S0084,2023-02-23T00:00:00Z,Hin Ploeng South West Pinnacle,Hin Ploeng,Rayong,net,Barracuda,Sphyraena spp.,Barracuda,Sphyraena,Sphyrenadae,genus,medium,0,1,1,dead,piscivore,NA,midwater_predator,Predator,Predator - Midwater,Predator,Trophic Stability,100,125.2,150,20.639767440550298,25,TRUE,priced,100,125.2,150,Aulostomus chinensis Ð Bluespotted Cornetfish,Sphyraena putnamae - Chevron Barracuda,1321.839191,1298,1298,Langlois et al. 2022,proxy,L,TRUE,langlois_direct,medium,1298
S0084,2023-02-23T00:00:00Z,Hin Ploeng South West Pinnacle,Hin Ploeng,Rayong,net,Fish (Unid),NA,Unknown fish,NA,UNKN,unknown,low,0,1,1,dead,NA,NA,NA,NA,Unidentified,NA,NA,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Unknown,Unknown,1506.198212,1490,1498.099106,Tribot et al. 2018; Langloiset al. 2022 (proxy),proxy,P,TRUE,proxy,medium,1498.099106
S0086,2023-02-24T00:00:00Z,Petra Wreck,Petra Wreck,Rayong,net,Scorpionfish,Scorpaenidae spp.,Scorpionfish,NA,NA,family,medium,1,0,1,alive,piscivore,NA,demersal_predator,Piscivore,Predator - Demersal,Predator,Trophic Stability,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Pterois volitans Ð Red Lionfish,Scorpaenopsis oxycephala - Tasselled Scorpionfish,1784.87583,1500,1500,Langlois et al. 2022,direct,L,TRUE,langlois_direct,high,1500
S0098,2023-04-13T00:00:00Z,Koh Mun Nok West,Koh Mun Nok,Rayong,net,8 Banded Butterflyfish,Chaetodon octofasciatus,8 Banded Butterflyfish,Chaetodon,Chaetodontidae,species,high,1,0,1,alive,invertivore,NA,NA,Invertivore,Reef Specific,Corallivore,Reef Resilience,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Chaetodon trifascialis Ð Chevron Butterflyfish,Chaetodon octofasciatus - Eightband Butterflyfish,1610.986121,1699,1699,Langlois et al. 2022,direct,L,TRUE,langlois_direct,high,1699
Yam,2023-08-08T00:00:00Z,Koh Sak NE,Pattaya,Chonburi,net,Fish (Unid),NA,Unknown fish,NA,UNKN,unknown,low,NA,2,2,dead,NA,NA,NA,NA,Unidentified,NA,NA,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Unknown,Unknown,1506.198212,1490,1498.099106,Tribot et al. 2018; Langloiset al. 2022 (proxy),proxy,P,TRUE,proxy,medium,2996.198212
